,10 yr average
2014-02-01,0.8427017065946748
2014-03-01,0.8579723402417893
2014-04-01,0.8819339526479385
2014-05-01,0.848082665487457
2014-06-01,0.9069682704162944
2014-07-01,0.8745633137902145
2014-08-01,0.8899965973629729
2014-09-01,0.868432533796723
2014-10-01,0.8727883759322883
2014-11-01,0.8961177083629107
2014-12-01,0.8185965247882466
2015-01-01,0.88348398375012
2015-02-01,0.846314179917239
2015-03-01,0.8506089260445616
2015-04-01,0.8241591958272964
2015-05-01,0.8312445354566331
2015-06-01,0.7642589944899929
2015-07-01,0.7739816944311307
2015-08-01,0.7987567015775481
2015-09-01,0.8491701383963179
2015-10-01,0.8183251567192471
2015-11-01,0.7662301013568977
2015-12-01,0.7626338862423755
2016-01-01,0.7073502692362522
2016-02-01,0.7209177336465803
2016-03-01,0.6803803104366022
2016-04-01,0.6768022092387312
2016-05-01,0.681403101111814
2016-06-01,0.6987012520956188
2016-07-01,0.7097104808966269
2016-08-01,0.7069919478135032
2016-09-01,0.703299913396915
2016-10-01,0.6824680876760717
2016-11-01,0.6690798817615794
2016-12-01,0.6654206745268277
2017-01-01,0.6840243576228872
2017-02-01,0.6707911007276935
2017-03-01,0.6757802920583201
2017-04-01,0.6992313508370525
2017-05-01,0.684499662777407
2017-06-01,0.7118938363235384
2017-07-01,0.7150271643342068
2017-08-01,0.6979192086647381
2017-09-01,0.7271253490519359
2017-10-01,0.7478649066101712
2017-11-01,0.7581617735873585
2017-12-01,0.8038418699921173
2018-01-01,0.797823480388476
2018-02-01,0.8501792675084476
2018-03-01,0.8690790396899845
2018-04-01,0.9137136901187946
2018-05-01,0.9386214417230815
2018-06-01,0.9829264502460027
2018-07-01,1.0469835102096663
2018-08-01,1.0897862095776378
2018-09-01,1.1828708357157336
2018-10-01,1.2343841729467888
2018-11-01,1.311265994257978
2018-12-01,1.3886502410988564
2019-01-01,1.4488979774201711
2019-02-01,1.5130932289007626
2019-03-01,1.614703906620604
2019-04-01,1.6227060592921605
2019-05-01,1.6490783076997697
2019-06-01,1.6718999371121892
2019-07-01,1.6739127580587807
2019-08-01,1.664874299940256
2019-09-01,1.706482262868058
2019-10-01,1.695661155302986
2019-11-01,1.703086155408859
2019-12-01,1.6955840492247514
2020-01-01,1.6834140202397185
2020-02-01,1.6972532341361972
2020-03-01,1.3062356472574164
2020-04-01,0.2443703166450054
2020-05-01,0.7144032052920978
2020-06-01,1.1170473370587626
2020-07-01,1.2431331113571915
2020-08-01,1.31258109970468
2020-09-01,1.369463684181986
2020-10-01,1.4126417824564326
2020-11-01,1.3750492623694923
2020-12-01,1.3455134577377705
2021-01-01,1.4306951086926134
2021-02-01,1.342328956969024
2021-03-01,1.5836153752063054
2021-04-01,1.5986055470260483
2021-05-01,1.607034902278663
2021-06-01,1.6066343582661355
2021-07-01,1.5945455950218028
2021-08-01,1.6036948163079547
2021-09-01,1.6031470916977268
2021-10-01,1.6351422192735425
2021-11-01,1.6568456098500965
2021-12-01,1.6028750126559812
2022-01-01,1.5979169768618304
2022-02-01,1.5910923678282574
2022-03-01,1.6068983874519318
2022-04-01,1.6138386611626905
2022-05-01,1.6035591809627343
2022-06-01,1.6057976038003392
2022-07-01,1.6184202071100835
2022-08-01,1.638475699601278
2022-09-01,1.6185634385277516
2022-10-01,1.6158278465635887
2022-11-01,1.5516421112650498
2022-12-01,1.482774253038257
